time,event,stk_cd,stk_nm,qty,price,base_price,order_no,profit_amount,profit_pct,memo,state,cycle,take_profit_price,stop_loss_price
2026-06-29 10:30:17,BUY,0193T0,KODEX SK하이닉스단일종목레버리지,118,31865,31865,0066890,,,최초 매수,NORMAL,0,33100,31200
2026-06-29 10:30:19,BUY,0193W0,KODEX 삼성전자단일종목레버리지,166,22640,22640,0066914,,,최초 매수,NORMAL,0,23500,22150
2026-06-29 10:36:45,TAKE_PROFIT_FILLED,0193T0,KODEX SK하이닉스단일종목레버리지,118,0,31865,0066904,,,보유수량 0주: 익절 체결로 추정,NORMAL,0,0,31200
2026-06-29 10:36:49,REBUY,0193T0,KODEX SK하이닉스단일종목레버리지,83,33130,33130,0068824,,,익절 후 재진입,NORMAL,1,34450,32450
2026-06-29 10:44:59,TAKE_PROFIT_FILLED,0193W0,KODEX 삼성전자단일종목레버리지,166,0,22640,0066925,,,보유수량 0주: 익절 체결로 추정,NORMAL,0,0,22150
2026-06-29 10:45:00,REBUY,0193W0,KODEX 삼성전자단일종목레버리지,166,23490,23490,0071430,,,익절 후 재진입,NORMAL,1,24400,23000
2026-06-29 10:57:12,STOP_RESET,0193W0,KODEX 삼성전자단일종목레버리지,166,23000,23490,0074782,,,손절선 터치: 매도하지 않고 기준가/손절가 재설정,RECOVERY,2,23900,22300
2026-06-29 11:03:44,STOP_RESET,0193T0,KODEX SK하이닉스단일종목레버리지,83,32405,33130,0076680,,,손절선 터치: 매도하지 않고 기준가/손절가 재설정,RECOVERY,2,33700,31400
2026-06-29 11:25:38,BUY,0193T0,KODEX SK하이닉스단일종목레버리지,58,32247,32247,0083414,,,최초 매수,NORMAL,0,33500,31600
2026-06-29 11:25:41,BUY,0193W0,KODEX 삼성전자단일종목레버리지,83,22594,22594,0083420,,,최초 매수,NORMAL,0,23450,22100
2026-06-29 12:25:23,DCA_BUY_RESET,0193T0,KODEX SK하이닉스단일종목레버리지,1,31570,32236,0095966,,,손절선 터치: DCA 추가매수 후 평균단가 기준 익절 재등록,RECOVERY,1,33500,31400,45136,31570,59,32236
2026-06-29 12:32:33,DCA_BUY_RESET,0193W0,KODEX 삼성전자단일종목레버리지,2,22095,22582,0097376,,,손절선 터치: DCA 추가매수 후 평균단가 기준 익절 재등록,RECOVERY,1,23450,22000,45136,44190,85,22582
2026-06-29 12:34:50,DCA_BUY_RESET,0193W0,KODEX 삼성전자단일종목레버리지,2,22015,22569,0097748,,,손절선 터치: DCA 추가매수 후 평균단가 기준 익절 재등록,RECOVERY,2,23450,21850,45136,88220,87,22569
2026-06-29 12:35:01,DCA_BUY_RESET,0193T0,KODEX SK하이닉스단일종목레버리지,1,31400,32222,0097778,,,손절선 터치: DCA 추가매수 후 평균단가 기준 익절 재등록,RECOVERY,2,33500,31250,45136,62970,60,32222
2026-06-29 12:45:05,DCA_BUY_RESET,0193T0,KODEX SK하이닉스단일종목레버리지,2,31222,32190,0099577,,,손절선 터치: DCA 추가매수 후 평균단가 기준 익절 재등록,RECOVERY,3,33450,31050,90273,125414,62,32190
2026-06-29 12:45:12,DCA_BUY_RESET,0193W0,KODEX 삼성전자단일종목레버리지,4,21850,22537,0099627,,,손절선 터치: DCA 추가매수 후 평균단가 기준 익절 재등록,RECOVERY,3,23400,21700,90273,175620,91,22537
